r [A]	U [eV]
12,62	-0,008254935
12,63	-0,008215824
12,64	-0,008176928
12,65	-0,008138247
12,66	-0,008099779
12,67	-0,008061523
12,68	-0,008023478
12,69	-0,007985642
12,7	-0,007948013
12,71	-0,007910592
12,72	-0,007873375
12,73	-0,007836363
12,74	-0,007799553
12,75	-0,007762945
12,76	-0,007726537
12,77	-0,007690328
12,78	-0,007654317
12,79	-0,007618502
12,8	-0,007582883
12,81	-0,007547457
12,82	-0,007512225
12,83	-0,007477184
12,84	-0,007442333
12,85	-0,007407672
12,86	-0,007373199
12,87	-0,007338913
12,88	-0,007304812
12,89	-0,007270897
12,9	-0,007237164
12,91	-0,007203614
12,92	-0,007170246
12,93	-0,007137057
12,94	-0,007104048
12,95	-0,007071216
12,96	-0,007038561
12,97	-0,007006082
12,98	-0,006973778
12,99	-0,006941647
13	-0,006909688
13,01	-0,006877901
13,02	-0,006846285
13,03	-0,006814838
13,04	-0,006783559
13,05	-0,006752447
13,06	-0,006721502
13,07	-0,006690722
13,08	-0,006660106
13,09	-0,006629654
13,1	-0,006599363
13,11	-0,006569234
13,12	-0,006539266
13,13	-0,006509456
13,14	-0,006479805
13,15	-0,006450312
13,16	-0,006420975
13,17	-0,006391793
13,18	-0,006362766
13,19	-0,006333892
13,2	-0,006305171
13,21	-0,006276602
13,22	-0,006248184
13,23	-0,006219916
13,24	-0,006191797
13,25	-0,006163825
13,26	-0,006136002
13,27	-0,006108324
13,28	-0,006080792
13,29	-0,006053405
13,3	-0,006026161
13,31	-0,005999061
13,32	-0,005972102
13,33	-0,005945284
13,34	-0,005918607
13,35	-0,005892069
13,36	-0,00586567
13,37	-0,005839409
13,38	-0,005813285
13,39	-0,005787297
13,4	-0,005761445
13,41	-0,005735727
13,42	-0,005710143
13,43	-0,005684691
13,44	-0,005659372
13,45	-0,005634185
13,46	-0,005609128
13,47	-0,005584201
13,48	-0,005559403
13,49	-0,005534733
13,5	-0,005510191
13,51	-0,005485776
13,52	-0,005461487
13,53	-0,005437323
13,54	-0,005413284
13,55	-0,005389369
13,56	-0,005365577
13,57	-0,005341907
13,58	-0,005318359
13,59	-0,005294932
13,6	-0,005271625
13,61	-0,005248437
13,62	-0,005225369
13,63	-0,005202419
13,64	-0,005179586
13,65	-0,00515687
13,66	-0,00513427
13,67	-0,005111786
13,68	-0,005089416
13,69	-0,005067161
13,7	-0,005045018
13,71	-0,005022989
13,72	-0,005001072
13,73	-0,004979266
13,74	-0,004957571
13,75	-0,004935986
13,76	-0,004914511
13,77	-0,004893144
13,78	-0,004871886
13,79	-0,004850736
13,8	-0,004829692
13,81	-0,004808755
13,82	-0,004787924
13,83	-0,004767197
13,84	-0,004746576
13,85	-0,004726058
13,86	-0,004705644
13,87	-0,004685333
13,88	-0,004665123
13,89	-0,004645016
13,9	-0,004625009
13,91	-0,004605103
13,92	-0,004585296
13,93	-0,004565589
13,94	-0,004545981
13,95	-0,004526471
13,96	-0,004507058
13,97	-0,004487742
13,98	-0,004468523
13,99	-0,0044494
14	-0,004430372
14,01	-0,004411439
14,02	-0,004392601
14,03	-0,004373856
14,04	-0,004355204
14,05	-0,004336645
14,06	-0,004318178
14,07	-0,004299803
14,08	-0,004281519
14,09	-0,004263326
14,1	-0,004245222
14,11	-0,004227209
14,12	-0,004209284
14,13	-0,004191448
14,14	-0,0041737
14,15	-0,00415604
14,16	-0,004138467
14,17	-0,00412098
14,18	-0,00410358
14,19	-0,004086265
14,2	-0,004069035
14,21	-0,00405189
14,22	-0,004034829
14,23	-0,004017852
14,24	-0,004000958
14,25	-0,003984147
14,26	-0,003967419
14,27	-0,003950772
14,28	-0,003934207
14,29	-0,003917722
14,3	-0,003901318
14,31	-0,003884994
14,32	-0,00386875
14,33	-0,003852585
14,34	-0,003836498
14,35	-0,00382049
14,36	-0,00380456
14,37	-0,003788707
14,38	-0,003772932
14,39	-0,003757232
14,4	-0,003741609
14,41	-0,003726062
14,42	-0,00371059
14,43	-0,003695193
14,44	-0,00367987
14,45	-0,003664621
14,46	-0,003649446
14,47	-0,003634344
14,48	-0,003619315
14,49	-0,003604359
14,5	-0,003589475
14,51	-0,003574662
14,52	-0,00355992
14,53	-0,003545249
14,54	-0,003530649
14,55	-0,003516119
14,56	-0,003501659
14,57	-0,003487268
14,58	-0,003472945
14,59	-0,003458692
14,6	-0,003444506
14,61	-0,003430389
14,62	-0,003416339
14,63	-0,003402356
14,64	-0,003388439
14,65	-0,003374589
14,66	-0,003360805
14,67	-0,003347087
14,68	-0,003333434
14,69	-0,003319846
14,7	-0,003306322
14,71	-0,003292862
14,72	-0,003279467
14,73	-0,003266135
14,74	-0,003252866
14,75	-0,00323966
14,76	-0,003226516
14,77	-0,003213435
14,78	-0,003200416
14,79	-0,003187458
14,8	-0,003174561
14,81	-0,003161725
14,82	-0,003148949
14,83	-0,003136234
14,84	-0,003123578
14,85	-0,003110982
14,86	-0,003098445
14,87	-0,003085967
14,88	-0,003073548
14,89	-0,003061187
14,9	-0,003048884
14,91	-0,003036638
14,92	-0,00302445
14,93	-0,003012319
14,94	-0,003000244
14,95	-0,002988226
14,96	-0,002976265
14,97	-0,002964359
14,98	-0,002952508
14,99	-0,002940713
15	-0,002928972
15,01	-0,002917286
15,02	-0,002905655
15,03	-0,002894078
15,04	-0,002882554
15,05	-0,002871084
15,06	-0,002859667
15,07	-0,002848303
15,08	-0,002836992
15,09	-0,002825733
15,1	-0,002814526
15,11	-0,002803371
15,12	-0,002792267
15,13	-0,002781215
15,14	-0,002770214
15,15	-0,002759263
15,16	-0,002748363
15,17	-0,002737513
15,18	-0,002726713
15,19	-0,002715963
15,2	-0,002705262
15,21	-0,002694611
15,22	-0,002684008
15,23	-0,002673454
15,24	-0,002662948
15,25	-0,00265249
15,26	-0,00264208
15,27	-0,002631718
15,28	-0,002621403
15,29	-0,002611135
15,3	-0,002600915
15,31	-0,002590741
15,32	-0,002580613
15,33	-0,002570531
15,34	-0,002560495
15,35	-0,002550505
15,36	-0,002540561
15,37	-0,002530661
15,38	-0,002520807
15,39	-0,002510997
15,4	-0,002501232
15,41	-0,002491511
15,42	-0,002481834
15,43	-0,002472201
15,44	-0,002462612
15,45	-0,002453065
15,46	-0,002443563
15,47	-0,002434102
15,48	-0,002424685
15,49	-0,00241531
15,5	-0,002405978
15,51	-0,002396687
15,52	-0,002387438
15,53	-0,002378231
15,54	-0,002369065
15,55	-0,002359941
15,56	-0,002350857
15,57	-0,002341814
15,58	-0,002332812
15,59	-0,00232385
15,6	-0,002314928
15,61	-0,002306046
15,62	-0,002297204
15,63	-0,002288401
15,64	-0,002279638
15,65	-0,002270913
15,66	-0,002262228
15,67	-0,002253582
15,68	-0,002244974
15,69	-0,002236404
15,7	-0,002227872
15,71	-0,002219379
15,72	-0,002210923
15,73	-0,002202504
15,74	-0,002194123
15,75	-0,00218578
